delivery_id,Date,Exam Name,Score,Passed,Points Earned,Points Available,Duration,Form,Form ID,Form Version ID
21c5f1ab-cecf-4c0f-8035-0511d391f39e,04:39.9,Game of Thrones Season 1,57.14285714,,12,21,594,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
c4f65427-205b-4a12-894a-49a55dcd4311,13:07.1,Game of Thrones Season 1,28.57142857,,6,21,348,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
917825fb-0cd4-4ad3-9ac4-bda090b6828d,27:52.2,Game of Thrones Season 1,38.0952381,,8,21,525,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
e53c5d86-81e2-463f-8b92-bc6e72f02ed0,34:06.5,Game of Thrones Season 1,47.61904762,,10,21,725,Form B,2f1ec53a-57ac-40e2-87cd-20472f722a2a,40b439c2-ae86-4f84-abef-860e76bc194f
b2287db7-3473-44a6-a4bd-2fc5780bb539,33:25.3,Game of Thrones Season 1,66.66666667,,14,21,436,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
bb67fdcf-a836-4d7c-bd3f-0960b5458585,41:54.4,Game of Thrones Season 1,52.38095238,,11,21,771,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
9f2ffa09-107c-456d-8d64-e8e674fdbea7,36:42.2,Game of Thrones Season 1,42.85714286,,9,21,441,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
df186288-7a2f-428f-b05b-0e1a92629d82,48:09.3,Game of Thrones Season 1,66.66666667,,14,21,415,Form A,be88c53a-80a7-4227-82d1-c8b82c44983b,34099578-25cb-4d19-9fe6-a8322bcc95ae
3b2c52f8-e89a-42ee-85b0-93d1a5a8e16f,01:29.9,Game of Thrones Season 1,23.80952381,,5,21,969,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
4008f25e-9f3e-4f46-9dd9-3eb4e41ea3f3,14:26.1,Game of Thrones Season 1,61.9047619,,13,21,341,Form C,9f8d8210-48d2-4f0b-b0c0-f61c425cee7b,afe475f1-434d-4311-b19a-2e6877a36ca0
